age,gender,education,marital_status,workclass,occupation,hours_per_week,capital_gain,capital_loss,native_country,annual_income,loan_status,experience_years,job_satisfaction,bmi,smoking_status,physical_activity,credit_score,disease_risk
58.0,1,3,0,3,5,9.0,40746.0,8133.0,5,46911.0,1,35.0,3.0,29.7,2,0,799.0,0.0
21.0,0,1,1,0,6,40.0,43605.0,9185.0,4,47174.0,0,12.0,2.0,32.3,0,1,700.0,0.0
60.0,0,3,3,2,0,70.0,44301.0,6681.0,5,52789.0,1,1.0,3.0,30.0,1,2,325.0,1.0
23.0,1,0,3,1,5,53.0,49461.0,3996.0,3,45091.0,1,10.0,1.0,20.0,1,2,833.0,1.0
18.0,0,0,2,0,1,39.0,19321.0,8545.0,1,89778.0,1,27.0,5.0,20.9,0,0,538.0,1.0
29.0,0,0,1,0,2,54.0,25265.0,9523.0,0,65098.0,0,13.0,2.0,26.9,2,0,627.0,0.0
52.0,1,3,0,3,2,37.0,25117.0,9422.0,4,76433.0,0,18.0,3.0,29.3,0,2,604.0,0.0
28.0,1,0,0,2,3,41.0,45540.0,926.0,1,52593.0,0,40.0,1.0,23.6,1,0,549.0,0.0
40.0,0,1,3,2,2,95.0,958.0,7487.0,5,44265.0,0,4.0,1.0,26.8,0,1,771.0,0.0
31.0,1,1,2,1,5,76.0,46933.0,6135.0,5,93387.0,1,38.0,2.0,21.4,0,2,537.0,1.0
36.0,0,0,3,1,6,15.0,15484.0,8848.0,1,85263.0,1,36.0,1.0,32.5,2,0,570.0,0.0
54.0,1,3,1,3,5,54.0,21951.0,3092.0,2,105374.0,0,14.0,2.0,22.5,0,1,670.0,1.0
33.0,0,2,3,0,1,69.0,12795.0,301.0,3,59374.0,1,28.0,4.0,19.6,0,2,589.0,0.0
61.0,1,0,1,2,5,90.0,18936.0,1570.0,5,53417.0,0,41.0,4.0,33.1,1,0,383.0,0.0
45.0,0,3,3,3,1,18.0,19936.0,1517.0,1,69992.5,0,23.0,3.0,19.8,2,2,736.0,0.0
62.0,0,3,1,0,6,46.0,23395.0,2830.0,5,83485.0,1,44.0,4.0,21.7,2,0,451.0,1.0
48.0,0,0,2,3,4,78.0,28994.0,9548.0,4,69992.5,1,33.0,4.0,24.6,1,2,836.0,0.0
24.0,0,2,3,1,4,34.0,24542.0,602.0,5,98350.0,0,35.0,5.0,16.6,2,2,770.0,0.0
63.0,1,1,3,0,6,27.0,19977.0,9663.0,5,82456.0,1,43.0,5.0,33.9,0,0,591.0,1.0
69.0,1,0,0,2,0,60.0,33783.0,9377.0,5,50789.0,1,30.0,2.0,27.2,1,2,604.0,1.0
44.0,1,2,2,3,1,9.0,500.0,4117.0,0,93776.0,0,5.0,2.0,30.9,0,1,657.0,0.0
34.0,0,0,1,3,2,7.0,1851.0,5718.0,3,59215.0,0,10.0,3.0,21.7,1,0,570.0,0.0
24.0,1,1,0,0,5,40.0,44483.0,2246.0,5,62893.0,0,3.0,1.0,22.4,2,2,316.0,0.0
32.0,1,0,2,1,6,58.0,28213.0,6179.0,3,103600.0,1,19.0,2.0,27.1,0,0,833.0,0.0
57.0,0,2,0,1,6,55.0,15199.0,7675.0,5,8866.0,0,28.0,4.0,31.1,1,1,398.0,1.0
29.0,0,3,2,2,2,76.0,36902.0,6582.0,5,71345.0,0,40.0,2.0,26.7,1,2,558.0,0.0
25.0,0,0,3,1,0,61.0,46792.0,5997.0,1,60249.0,0,39.0,4.0,28.6,0,2,442.0,0.0
19.0,1,2,2,2,2,62.0,49738.0,7625.0,5,74305.0,1,7.0,4.0,25.7,1,1,519.0,0.0
61.0,1,2,1,2,5,7.0,46375.0,7391.0,4,63842.0,0,29.0,2.0,28.9,0,2,425.0,1.0
55.0,0,0,0,3,1,14.0,36895.0,1228.0,5,59599.0,0,4.0,2.0,32.0,1,2,614.0,1.0
43.0,1,0,1,2,0,91.0,18043.0,8923.0,3,66902.0,1,8.0,1.0,30.3,0,0,705.0,1.0
68.0,0,0,0,0,5,68.0,26587.0,4577.0,5,32134.0,1,16.0,4.0,33.9,1,0,492.0,0.0
38.0,1,3,3,0,5,63.0,18111.0,548.0,0,74841.0,0,0.0,4.0,28.4,1,1,393.0,0.0
67.0,1,1,2,0,2,34.0,40488.0,3705.0,4,72952.0,0,20.0,1.0,21.3,1,0,770.0,0.0
30.0,1,2,1,1,3,99.0,45392.0,4131.0,5,74441.0,1,4.0,2.0,28.5,1,1,381.0,0.0
36.0,1,3,2,1,0,55.0,39728.0,8022.0,4,32712.0,0,17.0,4.0,22.4,1,0,689.0,0.0
35.0,0,0,1,2,0,58.0,47051.0,5557.0,0,55276.0,0,5.0,2.0,28.3,2,2,326.0,1.0
19.0,0,3,3,3,5,44.0,16665.0,3916.0,1,83227.0,1,30.0,4.0,21.6,0,1,307.0,1.0
69.0,1,2,1,2,3,95.0,46671.0,6750.0,3,83756.0,1,37.0,4.0,23.8,2,2,739.0,0.0
62.0,0,3,3,1,1,95.0,31035.0,5359.0,2,83063.0,1,16.0,5.0,20.9,0,0,638.0,0.0
59.0,1,2,0,2,5,24.0,43678.0,2253.0,5,69922.0,0,15.0,3.0,35.4,1,2,603.0,0.0
66.0,1,3,0,0,2,86.0,5133.0,724.0,5,40379.0,1,35.0,2.0,24.8,1,1,707.0,0.0
45.0,1,3,0,3,6,95.0,27976.0,508.0,5,69992.5,0,1.0,4.0,28.4,2,2,435.0,0.0
67.0,1,2,0,1,4,78.0,25564.0,4713.0,1,69992.5,1,8.0,5.0,26.8,2,2,589.0,0.0
40.0,1,2,3,3,5,69.0,38168.0,7645.0,0,32043.0,1,41.0,1.0,22.0,0,1,453.0,0.0
21.0,0,2,0,3,1,81.0,10247.0,4084.0,5,83587.0,1,12.0,2.0,29.7,2,2,392.0,1.0
21.0,0,3,2,2,0,37.0,38275.0,8090.0,5,63158.0,0,33.0,4.0,21.9,0,0,789.0,1.0
29.0,1,1,3,3,5,91.0,30787.0,2203.0,5,24707.0,1,22.0,2.0,36.4,0,2,307.0,0.0
39.0,0,2,0,3,2,59.0,239.0,2291.0,1,20099.0,0,18.0,2.0,27.4,1,1,419.0,0.0
43.0,0,2,0,2,3,38.0,1881.0,1045.0,5,70353.0,1,26.0,1.0,26.2,1,1,589.0,0.0
57.0,0,0,0,1,1,34.0,27924.0,8941.0,1,25040.0,0,8.0,4.0,22.9,2,1,687.0,1.0
59.0,1,1,2,1,4,64.0,28426.0,1315.0,5,118223.0,0,40.0,1.0,27.1,1,0,318.0,0.0
52.0,0,2,3,1,0,34.0,44406.0,8038.0,2,34905.0,0,34.0,4.0,21.8,2,2,334.0,1.0
21.0,1,0,1,0,5,74.0,47782.0,9547.0,1,85912.0,1,14.0,1.0,28.5,2,2,589.0,0.0
29.0,0,1,0,3,5,22.0,2094.0,6230.0,4,106547.0,1,18.0,2.0,33.3,2,1,790.0,0.0
21.0,0,3,3,0,2,95.0,47964.0,2839.0,5,69992.5,1,28.0,1.0,19.5,2,1,312.0,0.0
69.0,0,1,1,3,6,23.0,42109.0,2057.0,1,114691.0,0,25.0,1.0,26.5,2,0,849.0,0.0
48.0,0,3,1,1,6,39.0,40840.0,3195.0,2,56277.0,1,41.0,5.0,27.0,1,2,373.0,0.0
24.0,0,0,0,3,6,5.0,18194.0,7263.0,5,52394.0,0,29.0,3.0,28.9,0,0,588.0,0.0
27.0,1,1,2,2,4,19.0,25722.0,687.0,5,66873.0,1,27.0,1.0,33.8,2,0,418.0,0.0
41.0,0,3,0,0,6,52.0,28262.0,940.0,5,66515.0,0,14.0,2.0,31.7,0,1,806.0,0.0
32.0,1,0,0,3,6,70.0,30442.0,2021.0,5,85787.0,1,30.0,2.0,25.7,1,1,781.0,0.0
56.0,0,2,1,2,1,18.0,49536.0,981.0,0,59760.0,0,29.0,1.0,30.0,2,0,589.0,0.0
37.0,1,0,1,1,3,83.0,41927.0,5001.0,5,71334.0,1,32.0,2.0,28.4,2,2,329.0,0.0
24.0,1,0,1,0,0,66.0,29038.0,5290.0,5,69992.5,1,3.0,4.0,22.6,2,0,847.0,0.0
30.0,0,0,3,0,2,149.0,39675.0,6216.0,3,133984.5,1,34.0,1.0,39.900000000000006,1,2,740.0,0.0
45.0,0,3,3,0,4,25.0,43797.0,8142.0,1,53436.0,1,0.0,2.0,29.4,1,0,569.0,0.0
56.0,0,0,0,1,3,50.0,7419.0,6245.0,3,65818.0,0,34.0,4.0,22.6,0,0,780.0,0.0
35.0,1,2,0,1,4,63.0,25327.0,1550.0,1,81162.0,1,6.0,4.0,24.0,1,0,641.0,0.0
64.0,1,3,3,3,6,92.0,32697.0,8427.0,4,74781.0,1,36.0,2.0,27.1,0,2,589.0,0.0
28.0,1,0,0,0,5,29.0,40602.0,9266.0,5,116575.0,1,2.0,4.0,29.9,0,0,674.0,0.0
53.0,0,2,0,1,6,70.0,49396.0,3226.0,0,69992.5,1,3.0,5.0,30.3,0,0,661.0,1.0
53.0,0,0,2,0,0,87.0,31197.0,9218.0,5,86457.0,0,44.0,1.0,28.8,2,2,589.0,0.0
19.0,1,1,0,0,4,15.0,22709.0,6636.0,0,87176.0,0,30.0,5.0,26.1,2,0,550.0,0.0
65.0,1,1,1,3,4,30.0,11024.0,7604.0,3,74005.0,1,36.0,5.0,29.9,0,1,319.0,0.0
63.0,0,2,0,3,0,81.0,28078.0,4205.0,5,83526.0,0,16.0,2.0,28.6,2,0,452.0,1.0
34.0,1,3,2,3,0,31.0,8937.0,8979.0,4,43929.0,1,6.0,1.0,22.5,1,0,615.0,0.0
23.0,0,1,3,3,6,31.0,15251.0,6733.0,5,62829.0,1,42.0,3.0,27.3,1,1,392.0,0.0
58.0,1,3,3,3,5,60.0,30160.0,5539.0,2,76165.0,1,38.0,4.0,27.9,1,1,522.0,1.0
63.0,1,2,2,3,5,63.0,16447.0,6135.0,2,69992.5,1,38.0,3.0,31.9,0,1,406.0,0.0
40.0,0,0,1,3,6,76.0,17456.0,3933.0,5,38765.0,0,36.0,4.0,32.9,0,2,304.0,1.0
64.0,0,0,2,2,2,71.0,36886.0,4326.0,4,82710.0,0,30.0,5.0,21.0,1,1,467.0,1.0
33.0,1,3,0,1,1,70.0,28658.0,4121.0,0,65644.0,1,13.0,2.0,36.7,0,0,796.0,1.0
58.0,1,3,3,0,5,44.0,36176.0,4437.0,5,80768.0,1,38.0,3.0,20.1,0,1,480.0,0.0
43.0,1,0,0,0,0,49.0,16302.0,8244.0,2,10200.0,1,31.0,4.0,33.5,2,0,653.0,0.0
63.0,1,3,1,3,6,93.0,48853.0,8479.0,3,116841.0,1,20.0,3.0,27.1,1,1,652.0,0.0
67.0,1,2,3,3,0,26.0,6179.0,9436.0,5,87816.0,0,35.0,5.0,39.900000000000006,0,1,848.0,0.0
18.0,0,2,3,2,4,40.0,35475.0,41.0,1,56930.0,1,14.0,4.0,27.1,1,1,589.0,1.0
53.0,1,1,2,3,4,85.0,18224.0,7054.0,3,75323.0,0,43.0,1.0,16.3,2,0,536.0,1.0
47.0,0,2,0,0,4,70.0,18739.0,5019.0,5,79100.0,0,2.0,5.0,23.2,1,2,824.0,1.0
19.0,0,0,3,3,6,70.0,16710.0,5496.0,4,133984.5,0,0.0,2.0,28.2,0,1,487.0,0.0
37.0,1,3,0,3,0,71.0,47284.0,8603.0,3,103857.0,1,43.0,3.0,25.4,0,1,680.0,0.0
22.0,0,2,3,1,3,91.0,46361.0,9879.0,3,88104.0,0,38.0,5.0,29.0,2,1,579.0,0.0
48.0,1,0,1,3,5,36.0,49904.0,2725.0,4,54792.0,0,3.0,2.0,22.9,0,0,558.0,1.0
25.0,0,3,1,0,0,25.0,15244.0,9977.0,5,73432.0,0,16.0,3.0,27.7,2,1,507.0,1.0
47.0,1,3,2,3,6,83.0,48222.0,3873.0,2,48257.0,0,33.0,2.0,27.1,0,2,782.0,0.0
56.0,0,3,2,0,0,59.0,18663.0,9590.0,5,43537.0,0,23.0,5.0,28.2,2,1,426.0,1.0
19.0,1,3,0,2,6,40.0,6706.0,3844.0,3,101050.0,0,21.0,2.0,35.1,2,2,552.0,1.0
30.0,1,3,3,0,1,66.0,20283.0,9240.0,2,92550.0,0,6.0,5.0,20.5,1,0,589.0,0.0
21.0,2,2,1,0,5,38.0,4781.0,4363.0,1,26329.0,0,16.0,5.0,15.8,1,1,751.0,1.0
62.0,1,3,2,1,0,90.0,45073.0,5804.0,4,103806.0,1,29.0,3.0,33.9,1,2,775.0,0.0
69.0,1,3,3,0,2,86.0,22787.0,7765.0,3,98533.0,0,20.0,2.0,16.6,1,1,529.0,1.0
25.0,1,2,2,3,4,92.0,16138.0,9406.0,4,89432.0,0,6.0,1.0,32.4,2,1,736.0,0.0
56.0,1,0,3,3,5,88.0,37750.0,1689.0,5,84157.0,1,9.0,5.0,27.5,1,0,552.0,0.0
42.0,0,0,0,2,3,38.0,33868.0,9661.0,1,66071.0,1,38.0,3.0,30.3,2,0,783.0,0.0
24.0,0,2,0,1,2,74.0,25668.0,1708.0,2,121377.0,1,30.0,4.0,32.9,2,2,328.0,0.0
31.0,0,2,0,2,0,6.0,20592.0,8277.0,3,47620.0,0,22.0,3.0,30.6,0,1,477.0,1.0
46.0,0,2,3,1,2,71.0,21078.0,8799.0,1,57995.0,1,31.0,2.0,18.6,1,0,507.0,0.0
62.0,1,2,2,1,1,5.0,294.0,5356.0,4,69992.5,0,33.0,5.0,27.3,2,2,440.0,0.0
38.0,1,0,3,2,6,52.0,30194.0,9048.0,1,46249.0,1,33.0,1.0,21.8,2,1,673.0,1.0
54.0,1,0,3,2,1,27.0,15758.0,4834.0,3,69918.0,0,15.0,5.0,29.4,1,1,350.0,0.0
66.0,0,2,0,0,5,66.0,24449.0,6773.0,2,61419.0,0,19.0,5.0,26.7,2,0,668.0,1.0
50.0,1,3,3,0,0,15.0,10002.0,627.0,1,75236.0,0,42.0,5.0,24.3,2,1,470.0,0.0
58.0,0,1,0,1,4,45.0,2619.0,3064.0,5,35276.0,0,13.0,5.0,27.1,1,1,528.0,1.0
42.0,1,1,2,1,2,76.0,27570.0,3587.0,5,55357.0,1,8.0,4.0,28.7,2,1,633.0,0.0
63.0,0,1,0,0,5,35.0,45126.0,4536.0,5,80235.0,1,34.0,4.0,26.2,1,2,606.0,1.0
31.0,0,0,3,2,2,76.0,116.0,5116.0,5,87215.0,0,5.0,5.0,26.0,0,0,320.0,0.0
26.0,1,0,3,0,4,56.0,49860.0,6653.0,2,93406.0,0,17.0,1.0,25.6,1,2,632.0,0.0
32.0,0,1,1,3,0,53.0,47475.0,1178.0,5,126993.0,0,44.0,3.0,30.0,0,1,672.0,0.0
24.0,1,1,2,0,5,33.0,21810.0,4901.0,4,34492.0,1,9.0,5.0,14.299999999999995,1,2,792.0,0.0
19.0,0,1,3,2,5,65.0,11062.0,2476.0,4,73195.0,1,39.0,3.0,21.9,0,1,810.0,0.0
48.0,0,3,1,1,6,149.0,3014.0,3843.0,4,69992.5,1,8.0,5.0,39.900000000000006,2,1,452.0,0.0
24.0,0,3,2,2,5,23.0,17219.0,2835.0,5,69992.5,1,17.0,1.0,35.5,2,2,645.0,1.0
58.0,0,2,1,2,5,98.0,38762.0,6424.0,5,50720.0,1,40.0,2.0,30.4,0,2,589.0,0.0
28.0,1,3,3,1,0,30.0,2173.0,8815.0,5,69060.0,0,20.0,5.0,25.6,2,0,323.0,1.0
30.0,0,3,0,2,6,75.0,48132.0,9826.0,5,119048.0,0,44.0,5.0,25.2,0,2,740.0,0.0
30.0,0,1,3,0,1,68.0,43383.0,5127.0,1,77064.0,1,43.0,3.0,23.7,0,1,505.0,1.0
43.0,0,1,3,1,4,25.0,10276.0,1009.0,3,77124.0,1,43.0,3.0,38.4,0,2,538.0,0.0
60.0,0,0,3,2,5,67.0,43557.0,1815.0,5,84566.0,1,36.0,4.0,27.6,1,1,573.0,0.0
67.0,1,1,3,0,1,5.0,34702.0,5855.0,5,116800.0,1,3.0,3.0,32.8,1,1,582.0,0.0
25.0,1,2,0,2,3,74.0,30627.0,1505.0,5,17912.0,0,15.0,2.0,29.7,0,0,462.0,0.0
31.0,0,3,1,2,1,38.0,3497.0,9718.0,5,63840.0,0,25.0,4.0,23.5,1,1,589.0,0.0
62.0,1,2,3,2,2,44.0,24993.0,278.0,5,36486.0,1,22.0,5.0,35.7,1,0,637.0,0.0
19.0,0,0,3,2,3,79.0,8570.0,4668.0,5,75903.0,0,34.0,3.0,22.9,0,0,738.0,1.0
59.0,0,0,1,3,3,76.0,28755.0,6138.0,4,39979.0,1,21.0,2.0,22.7,2,2,780.0,0.0
32.0,1,2,1,1,3,32.0,31646.0,8479.0,1,38439.0,1,37.0,5.0,19.9,0,1,801.0,1.0
41.0,1,2,1,1,6,60.0,8702.0,7186.0,0,63948.0,1,5.0,2.0,33.1,2,0,530.0,0.0
51.0,0,1,2,0,2,88.0,4265.0,1766.0,0,91593.0,1,37.0,2.0,21.2,1,2,829.0,1.0
21.0,1,2,0,0,0,63.0,2103.0,8824.0,2,44194.0,1,30.0,4.0,25.6,2,0,757.0,0.0
35.0,0,3,1,0,4,14.0,9741.0,6099.0,3,82993.0,0,3.0,2.0,27.1,2,2,575.0,0.0
42.0,0,1,0,3,5,14.0,6689.0,4385.0,2,61455.0,1,41.0,3.0,29.7,0,1,700.0,0.0
64.0,0,0,3,3,3,67.0,47535.0,1866.0,5,69992.5,1,37.0,5.0,27.1,2,0,776.0,0.0
41.0,1,2,2,1,5,63.0,12595.0,1822.0,5,103979.0,1,23.0,2.0,22.4,1,0,828.0,1.0
23.0,1,2,0,3,2,22.0,49224.0,8797.0,5,69779.0,1,13.0,2.0,31.9,2,2,566.0,1.0
51.0,0,2,1,3,3,18.0,19306.0,6862.0,4,52059.0,1,17.0,1.0,27.8,2,0,616.0,0.0
68.0,0,3,1,0,3,83.0,43919.0,3458.0,5,40869.0,0,43.0,4.0,32.2,1,1,308.0,0.0
55.0,1,1,0,1,5,30.0,31317.0,8590.0,3,66829.0,0,21.0,5.0,30.7,2,2,767.0,0.0
20.0,1,0,0,3,3,85.0,2612.0,2567.0,5,30662.0,1,10.0,4.0,33.5,2,2,411.0,0.0
36.0,0,3,0,3,6,17.0,8338.0,197.0,3,98714.0,1,14.0,1.0,31.2,0,2,326.0,0.0
64.0,0,1,0,1,2,86.0,25825.0,1439.0,3,91752.0,0,35.0,4.0,39.900000000000006,0,1,335.0,1.0
63.0,0,2,1,3,5,40.0,45764.0,0.0,0,123011.0,0,20.0,5.0,29.1,0,2,589.0,0.0
53.0,1,3,2,0,4,9.0,11857.0,6198.0,3,106331.0,1,32.0,1.0,25.4,2,0,544.0,1.0
36.0,0,3,1,3,4,18.0,24867.0,4983.0,1,54524.0,1,23.0,1.0,27.2,1,0,672.0,1.0
45.0,0,3,3,2,1,83.0,40907.0,8976.0,5,42412.0,0,39.0,4.0,28.1,2,0,518.0,0.0
64.0,0,2,3,3,0,96.0,1784.0,5655.0,5,51296.0,1,22.0,2.0,28.3,0,2,410.0,1.0
27.0,1,3,2,2,1,37.0,40866.0,7093.0,0,62166.0,0,16.0,3.0,23.5,2,2,637.0,0.0
35.0,0,1,3,2,4,71.0,34479.0,9908.0,2,71156.0,0,39.0,2.0,33.0,1,0,642.0,0.0
21.0,2,2,3,0,0,94.0,46166.0,110.0,4,85370.0,0,42.0,5.0,30.9,1,2,612.0,0.0
29.0,1,1,0,2,3,43.0,38999.0,4429.0,5,56877.0,0,31.0,3.0,31.4,2,1,705.0,1.0
44.0,1,3,3,1,3,76.0,31783.0,2910.0,2,27217.0,0,7.0,5.0,26.8,0,0,631.0,0.0
46.0,0,0,0,3,5,88.0,32145.0,539.0,2,72743.0,0,14.0,1.0,28.4,0,1,690.0,0.0
29.0,1,1,1,3,4,74.0,33183.0,3038.0,2,73070.0,1,4.0,5.0,27.1,1,1,692.0,0.0
28.0,1,1,1,2,3,25.0,33278.0,5986.0,5,38468.0,1,4.0,2.0,23.1,1,2,398.0,0.0
21.0,0,0,3,1,0,78.0,37859.0,8976.0,4,62547.0,1,27.0,1.0,31.3,1,1,309.0,1.0
63.0,1,3,0,3,5,52.0,47051.0,918.0,5,68523.0,0,34.0,4.0,25.1,0,2,333.0,0.0
41.0,0,1,2,3,0,10.0,15823.0,7607.0,5,88350.0,1,37.0,4.0,27.3,0,0,569.0,0.0
43.0,0,3,1,2,0,7.0,31574.0,9772.0,3,49069.0,1,40.0,3.0,20.1,1,0,622.0,0.0
45.0,1,1,3,3,2,78.0,44789.0,666.0,2,40099.0,0,7.0,2.0,22.5,2,1,769.0,1.0
64.0,1,0,3,1,4,38.0,17263.0,7576.0,4,54253.0,1,3.0,3.0,19.2,0,1,497.0,0.0
21.0,0,1,3,3,2,33.0,28920.0,133.0,3,67407.0,0,38.0,1.0,27.8,0,1,555.0,0.0
53.0,0,1,3,0,3,50.0,6916.0,8233.0,1,75105.0,1,28.0,3.0,19.8,2,1,377.0,0.0
32.0,0,3,0,2,6,6.0,17643.0,2366.0,5,69992.5,0,17.0,2.0,27.1,2,1,422.0,0.0
39.0,1,1,1,3,4,52.0,35956.0,8852.0,5,88782.0,0,42.0,5.0,25.2,0,0,760.0,1.0
66.0,0,2,1,2,0,90.0,43853.0,4401.0,5,74385.0,1,28.0,4.0,21.5,2,0,318.0,0.0
41.0,0,0,1,1,6,96.0,40834.0,1833.0,5,40186.0,1,6.0,5.0,25.5,2,0,378.0,1.0
41.0,0,3,3,2,6,22.0,36534.0,2731.0,5,56490.0,0,36.0,3.0,22.4,0,2,516.0,0.0
54.0,0,1,3,1,0,64.0,20136.0,3446.0,5,79711.0,1,13.0,4.0,23.5,2,0,649.0,0.0
22.0,1,1,0,3,4,29.0,6489.0,1873.0,0,64769.0,0,7.0,1.0,24.2,2,2,613.0,0.0
23.0,0,2,3,3,1,54.0,22419.0,407.0,2,90469.0,0,40.0,3.0,34.4,2,1,515.0,0.0
66.0,0,2,3,2,4,41.0,29504.0,5001.0,5,54050.0,1,44.0,3.0,33.9,0,1,786.0,1.0
