id,age,gender,education,marital_status,workclass,occupation,hours_per_week,capital_gain,capital_loss,native_country,annual_income,loan_status,experience_years,job_satisfaction,bmi,smoking_status,physical_activity,credit_score,disease_risk
91,40,Male,Masters,Widowed,Unemployed,,69,38168,7645,Canada,32043.0,approved,41,1,22.0,non-smoker,low,453.0,0
92,21,Female,Masters,Divorced,Unemployed,Exec-managerial,81,10247,4084,us,83587.0,approved,12,2,29.7,smoker,medium,392.0,1
93,21,Female,PhD,Single,Self-Employed,Craft-repair,37,38275,8090,U.S.,63158.0,denied,33,4,21.9,non-smoker,high,789.0,1
94,29,Male,High School,Widowed,Unemployed,,91,30787,2203,USA,24707.0,approved,22,2,36.4,non-smoker,medium,307.0,0
95,39,Female,Masters,Divorced,Unemployed,Machine-op-inspct,59,239,2291,Germany,20099.0,denied,18,2,27.4,occasional,low,419.0,0
96,43,Female,Masters,Divorced,Self-Employed,Other-service,38,1881,1045,U.S.,70353.0,approved,26,1,26.2,occasional,low,,0
97,57,Female,Bachelors,Divorced,Private,Exec-managerial,34,27924,8941,Germany,25040.0,denied,8,4,22.9,smoker,low,687.0,1
98,59,Male,High School,Single,Private,Prof-specialty,64,28426,1315,USA,118223.0,denied,40,1,,occasional,high,318.0,0
99,52,Female,Masters,Widowed,Private,Craft-repair,34,44406,8038,India,34905.0,denied,34,4,21.8,smoker,medium,334.0,1
100,21,Male,Bachelors,Married,Government,,74,47782,9547,Germany,85912.0,approved,14,1,28.5,smoker,medium,unknown,0
101,29,Female,High School,Divorced,Unemployed,,22,2094,6230,UK,106547.0,approved,18,2,33.3,smoker,low,790.0,0
102,21,Female,PhD,Widowed,Government,Machine-op-inspct,95,47964,2839,,unknown,approved,28,1,19.5,smoker,low,312.0,0
103,69,Female,High School,Married,Unemployed,Tech-support,23,42109,2057,Germany,114691.0,denied,25,1,26.5,smoker,high,849.0,0
104,48,Female,PhD,Married,Private,Tech-support,39,40840,3195,India,56277.0,approved,41,5,27.0,occasional,medium,373.0,0
105,24,Female,Bachelors,Divorced,Unemployed,Tech-support,5,18194,7263,U.S.,52394.0,denied,29,3,28.9,non-smoker,high,588.0,0
106,27,Male,High School,Single,Self-Employed,Prof-specialty,19,25722,687,U.S.,66873.0,approved,27,1,33.8,smoker,high,418.0,0
107,41,Female,PhD,Divorced,Government,Tech-support,52,28262,940,us,66515.0,denied,14,2,31.7,non-smoker,low,806.0,0
108,32,Male,Bachelors,Divorced,Unemployed,Tech-support,70,30442,2021,U.S.,85787.0,approved,30,2,25.7,occasional,low,781.0,0
109,56,Female,Masters,Married,Self-Employed,Exec-managerial,18,49536,981,Canada,59760.0,denied,29,1,30.0,smoker,high,,0
110,37,Male,Bachelors,Married,Private,Other-service,83,41927,5001,U.S.,71334.0,approved,32,2,28.4,smoker,medium,329.0,0
111,24,Male,Bachelors,Married,Government,Craft-repair,66,29038,5290,USA,,approved,3,4,22.6,smoker,high,847.0,0
112,30,Female,Bachelors,Widowed,Government,Machine-op-inspct,323,39675,6216,Mexico,1271055.0,approved,34,1,204.0,occasional,medium,740.0,0
113,45,Female,PhD,Widowed,Government,Prof-specialty,25,43797,8142,Germany,53436.0,approved,0,2,29.4,occasional,high,569.0,0
114,56,Female,Bachelors,Divorced,Private,Other-service,50,7419,6245,Mexico,65818.0,denied,34,4,22.6,non-smoker,high,780.0,0
115,35,Male,Masters,Divorced,Private,Prof-specialty,63,25327,1550,Germany,81162.0,approved,6,4,24.0,occasional,high,641.0,0
116,64,Male,PhD,Widowed,Unemployed,Tech-support,92,32697,8427,UK,74781.0,approved,36,2,27.1,non-smoker,medium,,0
117,28,Male,Bachelors,Divorced,Government,Sales,29,40602,9266,,116575.0,approved,2,4,29.9,non-smoker,high,674.0,0
118,53,Female,Masters,Divorced,Private,Tech-support,70,49396,3226,Canada,,approved,3,5,30.3,non-smoker,high,661.0,1
119,53,Female,Bachelors,Single,Government,Craft-repair,87,31197,9218,us,86457.0,denied,44,1,28.8,smoker,medium,,0
120,19,Male,High School,Divorced,Government,Prof-specialty,15,22709,6636,Canada,87176.0,denied,30,5,26.1,smoker,high,550.0,0
121,65,Male,High School,Married,Unemployed,Prof-specialty,30,11024,7604,Mexico,74005.0,approved,36,5,29.9,non-smoker,low,319.0,0
122,63,Female,Masters,Divorced,Unemployed,Craft-repair,81,28078,4205,us,83526.0,denied,16,2,28.6,smoker,high,452.0,1
123,34,Male,PhD,Single,Unemployed,Craft-repair,31,8937,8979,UK,43929.0,approved,6,1,22.5,occasional,high,615.0,0
124,23,Female,High School,Widowed,Unemployed,Tech-support,31,15251,6733,us,62829.0,approved,42,3,27.3,occasional,low,392.0,0
125,58,Male,PhD,Widowed,Unemployed,Sales,60,30160,5539,India,76165.0,approved,38,4,27.9,occasional,low,522.0,1
126,63,Male,Masters,Single,Unemployed,Sales,63,16447,6135,India,,approved,38,3,31.9,non-smoker,low,406.0,0
127,40,Female,Bachelors,Married,Unemployed,Tech-support,76,17456,3933,USA,38765.0,denied,36,4,32.9,non-smoker,medium,304.0,1
128,64,Female,Bachelors,Single,Self-Employed,Machine-op-inspct,71,36886,4326,UK,82710.0,denied,30,5,21.0,occasional,low,467.0,1
129,33,Male,PhD,Divorced,Private,Exec-managerial,70,28658,4121,Canada,65644.0,approved,13,2,36.7,non-smoker,high,796.0,1
130,58,Male,PhD,Widowed,Government,,44,36176,4437,us,80768.0,approved,38,3,20.1,non-smoker,low,480.0,0
131,43,Male,Bachelors,Divorced,Government,Craft-repair,49,16302,8244,India,10200.0,approved,31,4,33.5,smoker,high,653.0,0
132,63,Male,PhD,Married,Unemployed,Tech-support,93,48853,8479,Mexico,116841.0,approved,20,3,27.1,occasional,low,652.0,0
133,67,Male,Masters,Widowed,Unemployed,Craft-repair,26,6179,9436,us,87816.0,denied,35,5,40.9,non-smoker,low,848.0,0
134,18,Female,Masters,Widowed,Self-Employed,Prof-specialty,40,35475,41,Germany,56930.0,approved,14,4,27.1,occasional,low,,1
135,53,Male,High School,Single,Unemployed,Prof-specialty,85,18224,7054,Mexico,75323.0,denied,43,1,16.3,smoker,high,536.0,1
136,47,Female,Masters,Divorced,Government,Prof-specialty,70,18739,5019,us,79100.0,denied,2,5,23.2,occasional,medium,824.0,1
137,19,Female,Bachelors,Widowed,,Tech-support,70,16710,5496,UK,156737.0,denied,0,2,28.2,non-smoker,low,487.0,0
138,37,Male,PhD,Divorced,Unemployed,Craft-repair,71,47284,8603,Mexico,103857.0,approved,43,3,25.4,non-smoker,low,680.0,0
139,22,Female,Masters,Widowed,Private,Other-service,91,46361,9879,Mexico,88104.0,denied,38,5,29.0,smoker,low,579.0,0
140,48,Male,Bachelors,Married,Unemployed,,36,49904,2725,UK,54792.0,denied,3,2,22.9,non-smoker,high,558.0,1
141,25,Female,PhD,Married,Government,Craft-repair,25,15244,9977,us,73432.0,denied,16,3,27.7,smoker,low,507.0,1
142,47,Male,PhD,Single,Unemployed,Tech-support,83,48222,3873,India,48257.0,denied,33,2,,non-smoker,medium,782.0,0
143,56,Female,PhD,Single,Government,Craft-repair,59,18663,9590,,43537.0,denied,23,5,28.2,smoker,low,426.0,1
144,19,Male,PhD,Divorced,Self-Employed,Tech-support,40,6706,3844,Mexico,101050.0,denied,21,2,35.1,smoker,medium,552.0,1
145,30,Male,PhD,Widowed,Government,Exec-managerial,66,20283,9240,India,92550.0,denied,6,5,20.5,occasional,high,,0
146,21,Other,Masters,Married,Government,Sales,38,4781,4363,Germany,26329.0,denied,16,5,15.8,occasional,low,751.0,1
147,62,Male,PhD,Single,Private,Craft-repair,90,45073,5804,UK,103806.0,approved,29,3,33.9,occasional,medium,775.0,0
148,69,Male,PhD,Widowed,Government,Machine-op-inspct,86,22787,7765,Mexico,98533.0,denied,20,2,16.6,occasional,low,529.0,1
149,25,Male,Masters,Single,,Prof-specialty,92,16138,9406,UK,89432.0,denied,6,1,32.4,smoker,low,736.0,0
150,56,Male,Bachelors,Widowed,,Sales,88,37750,1689,USA,84157.0,approved,9,5,27.5,occasional,high,552.0,0
151,42,Female,Bachelors,Divorced,Self-Employed,Other-service,38,33868,9661,Germany,66071.0,approved,38,3,30.3,smoker,high,783.0,0
152,24,Female,Masters,Divorced,Private,Machine-op-inspct,74,25668,1708,India,121377.0,approved,30,4,32.9,smoker,medium,328.0,0
153,31,Female,Masters,Divorced,Self-Employed,Craft-repair,6,20592,8277,Mexico,47620.0,denied,22,3,30.6,non-smoker,low,477.0,1
154,46,Female,Masters,Widowed,Private,Machine-op-inspct,71,21078,8799,Germany,57995.0,approved,31,2,18.6,occasional,high,507.0,0
155,62,Male,Masters,Single,Private,Exec-managerial,5,294,5356,UK,,denied,33,5,27.3,smoker,medium,440.0,0
156,38,Male,Bachelors,Widowed,Self-Employed,Tech-support,52,30194,9048,Germany,46249.0,approved,33,1,21.8,smoker,low,673.0,1
157,54,Male,Bachelors,Widowed,Self-Employed,Exec-managerial,27,15758,4834,Mexico,69918.0,denied,15,5,29.4,occasional,low,350.0,0
158,66,Female,Masters,Divorced,Government,Sales,66,24449,6773,India,61419.0,denied,19,5,26.7,smoker,high,668.0,1
159,50,Male,PhD,Widowed,Government,Craft-repair,15,10002,627,Germany,75236.0,denied,42,5,24.3,smoker,low,470.0,0
160,58,Female,High School,Divorced,Private,Prof-specialty,45,2619,3064,,35276.0,denied,13,5,27.1,occasional,low,528.0,1
161,42,Male,High School,Single,Private,Machine-op-inspct,76,27570,3587,U.S.,55357.0,approved,8,4,28.7,smoker,low,633.0,0
162,63,Female,High School,Divorced,Government,Sales,35,45126,4536,U.S.,80235.0,approved,34,4,26.2,occasional,medium,606.0,1
163,31,Female,Bachelors,Widowed,Self-Employed,Machine-op-inspct,76,116,5116,,87215.0,denied,5,5,26.0,non-smoker,high,320.0,0
164,26,Male,Bachelors,Widowed,Government,Prof-specialty,56,49860,6653,India,93406.0,denied,17,1,25.6,occasional,medium,632.0,0
165,32,Female,High School,Married,Unemployed,Craft-repair,53,47475,1178,U.S.,126993.0,denied,44,3,30.0,non-smoker,low,672.0,0
166,24,Male,High School,Single,Government,Sales,33,21810,4901,UK,34492.0,approved,9,5,10.6,occasional,medium,792.0,0
167,19,Female,High School,Widowed,Self-Employed,Sales,65,11062,2476,UK,73195.0,approved,39,3,21.9,non-smoker,low,810.0,0
168,48,Female,PhD,Married,Private,Tech-support,362,3014,3843,UK,,approved,8,5,182.5,smoker,low,452.0,0
169,24,Female,PhD,Single,Self-Employed,,23,17219,2835,USA,unknown,approved,17,1,35.5,smoker,medium,645.0,1
170,58,Female,Masters,Married,Self-Employed,Sales,98,38762,6424,USA,50720.0,approved,40,2,30.4,non-smoker,medium,,0
171,28,Male,PhD,Widowed,Private,Craft-repair,30,2173,8815,U.S.,69060.0,denied,20,5,25.6,smoker,high,323.0,1
172,30,Female,PhD,Divorced,Self-Employed,Tech-support,75,48132,9826,U.S.,119048.0,denied,44,5,25.2,non-smoker,medium,740.0,0
173,30,Female,High School,Widowed,Government,Exec-managerial,68,43383,5127,Germany,77064.0,approved,43,3,23.7,non-smoker,low,505.0,1
174,43,Female,High School,Widowed,Private,Prof-specialty,25,10276,1009,Mexico,77124.0,approved,43,3,38.4,non-smoker,medium,538.0,0
175,60,Female,Bachelors,Widowed,Self-Employed,,67,43557,1815,us,84566.0,approved,36,4,27.6,occasional,low,573.0,0
176,67,Male,High School,Widowed,Government,Exec-managerial,5,34702,5855,U.S.,116800.0,approved,3,3,32.8,occasional,low,582.0,0
177,25,Male,Masters,Divorced,Self-Employed,Other-service,74,30627,1505,,17912.0,denied,15,2,29.7,non-smoker,high,462.0,0
178,31,Female,PhD,Married,Self-Employed,Exec-managerial,38,3497,9718,us,63840.0,denied,25,4,23.5,occasional,low,,0
179,62,Male,Masters,Widowed,Self-Employed,Machine-op-inspct,44,24993,278,,36486.0,approved,22,5,35.7,occasional,high,637.0,0
180,19,Female,Bachelors,Widowed,Self-Employed,Other-service,79,8570,4668,us,75903.0,denied,34,3,22.9,non-smoker,high,738.0,1
181,59,Female,Bachelors,Married,Unemployed,Other-service,76,28755,6138,UK,39979.0,approved,21,2,22.7,smoker,medium,780.0,0
182,32,Male,Masters,Married,Private,Other-service,32,31646,8479,Germany,38439.0,approved,37,5,19.9,non-smoker,low,801.0,1
183,41,Male,Masters,Married,Private,Tech-support,60,8702,7186,Canada,63948.0,approved,5,2,33.1,smoker,high,530.0,0
184,51,Female,High School,Single,Government,Machine-op-inspct,88,4265,1766,Canada,91593.0,approved,37,2,21.2,occasional,medium,829.0,1
185,21,Male,Masters,Divorced,Government,Craft-repair,63,2103,8824,India,44194.0,approved,30,4,25.6,smoker,high,757.0,0
186,35,Female,PhD,Married,Government,Prof-specialty,14,9741,6099,Mexico,82993.0,denied,3,2,,smoker,medium,575.0,0
187,42,Female,High School,Divorced,Unemployed,,14,6689,4385,India,61455.0,approved,41,3,29.7,non-smoker,low,700.0,0
188,64,Female,Bachelors,Widowed,Unemployed,Other-service,67,47535,1866,USA,,approved,37,5,,smoker,high,776.0,0
189,41,Male,Masters,Single,Private,Sales,63,12595,1822,U.S.,103979.0,approved,23,2,22.4,occasional,high,828.0,1
190,23,Male,Masters,Divorced,,Machine-op-inspct,22,49224,8797,us,69779.0,approved,13,2,31.9,smoker,medium,566.0,1
191,51,Female,Masters,Married,Unemployed,Other-service,18,19306,6862,UK,52059.0,approved,17,1,27.8,smoker,high,616.0,0
192,68,Female,PhD,Married,Government,Other-service,83,43919,3458,us,40869.0,denied,43,4,32.2,occasional,low,308.0,0
193,55,Male,High School,Divorced,Private,,30,31317,8590,Mexico,66829.0,denied,21,5,30.7,smoker,medium,767.0,0
194,20,Male,Bachelors,Divorced,Unemployed,Other-service,85,2612,2567,U.S.,30662.0,approved,10,4,33.5,smoker,medium,411.0,0
195,36,Female,PhD,Divorced,,Tech-support,17,8338,197,Mexico,98714.0,approved,14,1,31.2,non-smoker,medium,326.0,0
196,64,Female,High School,Divorced,Private,Machine-op-inspct,86,25825,1439,Mexico,91752.0,denied,35,4,40.2,non-smoker,low,335.0,1
197,63,Female,Masters,Married,Unemployed,Sales,40,45764,0,Canada,123011.0,denied,20,5,29.1,non-smoker,medium,589.0,0
198,53,Male,PhD,Single,Government,Prof-specialty,9,11857,6198,Mexico,106331.0,approved,32,1,25.4,smoker,high,544.0,1
199,36,Female,PhD,Married,Unemployed,Prof-specialty,18,24867,4983,Germany,54524.0,approved,23,1,27.2,occasional,high,672.0,1
200,45,Female,PhD,Widowed,Self-Employed,Exec-managerial,83,40907,8976,U.S.,42412.0,denied,39,4,28.1,smoker,high,518.0,0
201,64,Female,Masters,Widowed,Unemployed,Craft-repair,96,1784,5655,U.S.,51296.0,approved,22,2,28.3,non-smoker,medium,410.0,1
202,27,Male,PhD,Single,Self-Employed,Exec-managerial,37,40866,7093,Canada,62166.0,denied,16,3,23.5,smoker,medium,637.0,0
203,35,Female,High School,Widowed,Self-Employed,Prof-specialty,71,34479,9908,India,71156.0,denied,39,2,33.0,occasional,high,642.0,0
204,21,Other,Masters,Widowed,Government,Craft-repair,94,46166,110,UK,85370.0,denied,42,5,30.9,occasional,medium,612.0,0
205,29,Male,High School,Divorced,Self-Employed,Other-service,43,38999,4429,us,56877.0,denied,31,3,31.4,smoker,low,705.0,1
206,44,Male,PhD,Widowed,Private,Other-service,76,31783,2910,India,27217.0,denied,7,5,26.8,non-smoker,high,631.0,0
207,46,Female,Bachelors,Divorced,Unemployed,Sales,88,32145,539,India,72743.0,denied,14,1,28.4,non-smoker,low,690.0,0
208,29,Male,High School,Married,Unemployed,Prof-specialty,74,33183,3038,India,73070.0,approved,4,5,,occasional,low,692.0,0
